ID	CA	ES	FR	EN	CAS	ACCIO_1	ACCIO_2	ACCIO_3
286	avobenzona	avobenzona	avobenzone	avobenzone	70356-09-1	protector solar		
287	avoparcina	avoparcina	avoparcine	avoparcin	37332-99-3	antibiòtic glucopeptídic		
288	axicabtagen ciloleucel	axicabtagén ciloleucel	axicabtagène ciloleucel	axicabtagene ciloleucel		antineoplàstic		
289	axitinib	axitinib	axitinib	axitinib	319460-85-0	antineoplàstic		
290	azacitidina	azacitidina	azacitidine	azacitidine	320-67-2	antineoplàstic		
291	azanidazole	azanidazol	azanidazole	azanidazole	62973-76-6	tricomonicida		
292	azasetró	azasetrón	azasétron	azasetron	123040-69-7	antiemètic		
293	azatadina	azatadina	azatadine	azatadine	3964-81-6	antial·lèrgic	antihistamínic H1	
294	azatioprina	azatioprina	azathioprine	azathioprine	446-86-6	immunosupressor		
295	azelastina	azelastina	azélastine	azelastine	58581-89-8	antial·lèrgic	antiasmàtic	antihistamínic
296	azelnidipina	azelnidipino	azelnidipine	azelnidipine	123524-52-7	antiarrítmic		
297	azidamfenicol	azidanfenicol	azidamfénicol	azidamfenicol	13838-08-9	antibiòtic cloramfenicòlic		
298	azidocil·lina	azidocilina	azidocilline	azidocillin	17243-38-8	antibiòtic penicil·línic sensible a la penicil·linasa		
299	azimilida	azimilida	azimilide	azimilide	149908-53-2	antiarrítmic		
300	azintamida	azintamida	azintamide	azintamide	1830-32-6	colerètic		
301	azitromicina	azitromicina	azithromycine	azithromycin	83905-01-5	antibiòtic macròlid		
302	azlocil·lina	azlocilina	azlocilline	azlocillin	37091-66-0	antibiòtic penicil·línic		
303	azosemida	azosemida	azosémide	azosemide	27589-33-9	diürètic de nansa		
304	aztreonam	aztreonam	aztréonam	aztreonam	78110-38-0	antibiòtic monobactàmic		
305	bacampicil·lina	bacampicilina	bacampicilline	bacampicillin	50972-17-3	antibiòtic penicil·línic sensible a la penicil·linasa		
306	bacitracina	bacitracina	bacitracine	bacitracin	1405-87-4	antibiòtic polipeptídic		
307	baclofèn	baclofeno	baclofène	baclofen	1134-47-0	antiespasmòdic		
308	balofloxacina	balofloxacino	balofloxacine	balofloxacin	127294-70-6	antibiòtic fluoroquinolònic		
309	balsalazida	balsalazida	balsalazide	balsalazide	80573-04-2	antiinflamatori intestinal		
310	bambuterol	bambuterol	bambutérol	bambuterol	81732-65-2	antiasmàtic	broncodilatador	
311	bametan	bametán	baméthan	bamethan	3703-79-5	vasodilatador perifèric		
312	bamifil·lina	bamifilina	bamifylline	bamifylline	2016-63-9	broncodilatador		
313	bamipina	bamipina	bamipine	bamipine	4945-47-5	antial·lèrgic	antihistamínic H1	
314	baquiloprim	baquiloprim	baquiloprime	baquiloprim	102280-35-3	antibiòtic diaminopirimidínic		
315	barbexaclona	barbexaclona	barbexaclone	barbexaclone	4388-82-3	antiepilèptic		
316	barbital	barbital	barbital	barbital	57-44-3	hipnòtic sedant		
317	baricitinib	baricitinib	baricitinib	baricitinib	1187594-09-7	immunomodulador		
318	barnidipina	barnidipino	barnidipine	barnidipine	104713-75-9	antihistamínic		
319	basiliximab	basiliximab	basiliximab	basiliximab	179045-86-4	immunosupressor		
320	batimastat	batimastat	batimastat	batimastat	130370-60-4	antineoplàstic		
321	batroxobina	batroxobina	batroxobine	batroxobin	9039-61-6	hemostàtic		
322	bazedoxifè	bazedoxifeno	bazédoxifène	bazedoxifene	198481-32-2	antiestrogen		
323	becaplermina	becaplermina	bécaplermine	becaplermin	165101-51-9	factor de creixement derivat de les plaquetes		
324	beclamida	beclamida	béclamide	beclamide	501-68-8	antiepilèptic		
325	beclometasona	beclometasona	béclométasone	beclometasone	4419-39-0	glucocorticoide		
326	befloxatona	befloxatona	béfloxatone	befloxatone	134564-82-2	antidepressiu IMAO		
327	befunolol	befunolol	béfunolol	befunolol	39552-01-7	blocador d'adrenoreceptors beta	emprat en el tractament del glaucoma	
328	bekanamicina	bekanamicina	békanamycine	bekanamycin	4696-76-8	antibiòtic aminoglicosídic		
329	belatacept	belatacept	bélatacept	belatacept	706808-37-9	fragment d'anticòs monoclonal humà		
330	belimumab	belimumab	bélimumab	belimumab	356547-88-1	immunomodulador		
331	beloranib	beloranib	béloranib	beloranib	251111-30-5	antineoplàstic		
332	bemegrida	bemegrida	bémégride	bemegride	64-65-3	analèptic		
333	bemetizida	bemetizida	bémétizide	bemetizide	1824-52-8	diürètic tiazídic		
334	bemiparina sòdica	bemiparina de sodio	bémiparine sodique	bemiparin sodium	9041-08-1	anticoagulant		
335	benactizina	benacticina	bénactyzine	benactyzine	302-40-9	tranquil·litzant		
336	benazepril	benazepril	bénazépril	benazepril	86541-75-5	antihipertensor		
337	benciclà	benciclano	bencyclane	bencyclane	2179-37-5	vasodilatador perifèric		
338	bendamustina	bendamustina	bendamustine	bendamustine	16506-27-7	antineoplàstic		
339	bendazac	bendazaco	bendazac	bendazac	20187-55-7	antiinflamatori		
340	bendazol	bendazol	bendazol	bendazol	621-72-7	vasodilatador		
341	bendroflumetiazida	bendroflumetiazida	bendrofluméthiazide	bendroflumethiazide	73-48-3	diürètic tiazídic		
342	benexat	benexato	bénexate	benexate	78718-52-2	antiúlcera gàstrica		
343	benfluorex	benfluorex	benfluorex	benfluorex	23602-78-0	antihiperlipèmic		
344	benfotiamina	benfotiamina	benfotiamine	benfotiamine	22457-89-2	emprat en la prevenció i el tractament del dèficit de vitamina B1		
345	benidipina	benidipino	bénidipine	benidipine	105979-17-7	antihipertensor	blocador dels canals del calci	
346	benorilat	benorilato	bénorilate	benorilate	5003-48-5	analgèsic	antiinflamatori	antipirètic
347	benoxaprofèn	benoxaprofeno	bénoxaprofène	benoxaprofen	51234-28-7	analgèsic	antiinflamatori	antipirètic
348	benperidol	benperidol	benpéridol	benperidol	2062-84-2	neurolèptic		
349	benproperina	benproperina	benpropérine	benproperine	2156-27-6	antitussigen		
350	benralizumab	benralizumab	benralizumab	benralizumab	1044511-01-4	immunomodulador		
351	benserazida	benserazida	bensérazide	benserazide	322-35-0	antiparkinsonià		
352	bentazepam	bentazepam	bentazépam	bentazepam	29462-18-8	ansiolític		
353	bentiromida	bentiromida	bentiromide	bentiromide	37106-97-1	agent de diagnòstic de la funció pancreàtica		
354	benzatropina	benzatropina	benzatropine	benzatropine	86-13-5	anticolinèrgic central	antiparkinsonià	
355	benzbromarona	benzbromarona	benzbromarone	benzbromarone	3562-84-3	uricosúric		
356	benzfetamina	benzfetamina	benzfétamine	benzfetamine	156-08-1	anorèctic		
357	benzidamina	bencidamina	benzydamine	benzydamine	642-72-8	analgèsic	antiinflamatori	antipirètic
358	benzilpenicil·lina	bencilpenicilina	benzylpénicilline	benzylpenicillin	61-33-6	antibiòtic penicil·línic sensible a la penicil·linasa		
359	benzilpenicil·lina benzatina	benzatina bencilpenicilina	benzathine benzylpénicilline	benzathine benzylpenicillin	1538-09-6	antibiòtic penicil·línic sensible a la penicil·linasa		
360	benziodarona	benciodarona	benziodarone	benziodarone	68-90-6	vasodilatador coronari		
361	benznidazole	benznidazol	benznidazole	benznidazole	22994-85-0	antiprotozoari		
362	benzoat d'estradiol	benzoato de estradiol	benzoate d'estradiol	estradiol benzoate	50-50-0	estrogen		
363	benzoat de denatoni	benzoato de denatonio	benzoate de dénatonium	denatonium benzoate	3734-33-6	coadjuvant tecnològic	desnaturalitzador	
364	benzobarbital	benzobarbital	benzobarbital	benzobarbital	744-80-9	hipnòtic sedant		
365	benzocaïna	benzocaína	benzocaïne	benzocaine	94-09-7	anestèsic local		
366	benzonatat	benzonatato	benzonatate	benzonatate	104-31-4	antitussigen		
367	benzoxiquina	benzoxiquina	benzoxiquine	benzoxiquine	86-75-9	antisèptic	desinfectant	
368	benzquercina	benzquercina	benzquercine	benzquercin	13157-90-9	antihemorroidal	vasoprotector	
369	benztiazida	benztiazida	benzthiazide	benzthiazide	91-33-8	diürètic tiazídic		
370	bepiastina	bepiastina	bépiastine	bepiastine	10189-94-3	antial·lèrgic	antihistamínic H1	
371	bepridil	bepridil	bépridil	bepridil	64706-54-3	antiarrítmic	vasodilatador coronari	
372	beraprost	beraprost	béraprost	beraprost	88430-50-6	antiagregant plaquetari	vasodilatador	
373	besifloxacina	besifloxacino	besifloxacine	besifloxacin	141388-76-3	antibiòtic fluoroquinolònic		
374	besilat d'atracuri	besilato de atracurio	bésilate d'atracurium	atracurium besilate	64228-81-5	blocador neuromuscular		
375	besilat de cisatracuri	besilato de cisatracurio	bésilate de cisatracurium	cisatracurium besilate	96946-42-8	relaxant muscular		
376	besilesomab	besilesomab	bésilésomab	besilesomab	537694-98-7	immunoglobulina		
377	betacarotè	betacaroteno	bétacarotène	betacarotene	7235-40-7	factor vitamínic	protector solar	
378	betadex	betadex	bétadex	betadex	7585-39-9	coadjuvant farmacèutic		
379	betahistina	betahistina	bétahistine	betahistine	5638-76-6	vasodilatador		
380	betametasona	betametasona	bétaméthasone	betamethasone	378-44-9	glucocorticoide		
381	betamipró	betamiprón	bétamipron	betamipron	3440-28-6	protector renal		
382	betanidina	betanidina	bétanidine	betanidine	55-73-2	antihipertensor		
383	betaxolol	betaxolol	bétaxolol	betaxolol	63659-18-7	blocador d'adrenoreceptors beta		
384	betrixaban	betrixabán	bétrixaban	betrixaban	330942-05-7	inhibidor del factor X de la coagulació sanguínia		
385	bevacizumab	bevacizumab	bévacizumab	bevacizumab	216974-75-3	antiangiogènic	antineoplàstic	
386	bevantolol	bevantolol	bévantolol	bevantolol	59170-23-9	blocador d'adrenoreceptors beta		
387	bexarotè	bexaroteno	bexarotène	bexarotene	153559-49-0	antineoplàstic		
388	bezafibrat	bezafibrato	bézafibrate	bezafibrate	41859-67-0	hipolipemiant		
389	bezitramida	bezitramida	bézitramide	bezitramide	15301-48-1	analgèsic opiaci		
390	bezlotoxumab	bezlotoxumab	bezlotoxumab	bezlotoxumab	1246264-45-8	immunomodulador		
391	biapenem	biapenem	biapénem	biapenem	120410-24-4	antibiòtic carbapenèmic		
392	bibrocatol	bibrocatol	bibrocathol	bibrocathol	6915-57-7	antisèptic	desinfectant	
393	bicalutamida	bicalutamida	bicalutamide	bicalutamide	90357-06-5	antineoplàstic		
394	biclotimol	biclotimol	biclotymol	biclotymol	15686-33-6	antisèptic		
395	bictegravir	bictegravir	bictégravir	bictegravir	1611493-60-7	antiretroviral		
396	bifemelà	bifemelano	bifémélane	bifemelane	90293-01-9	nootròpic		
397	bifonazole	bifonazol	bifonazole	bifonazole	60628-96-8	fungicida d'ús tòpic		
398	bilastina	bilastina	bilastine	bilastine	202189-78-4	antagonista dels receptors H1 de la histamina		
399	bimatoprost	bimatoprost	bimatoprost	bimatoprost	155206-00-1	emprat en el tractament del glaucoma		
400	binifibrat	binifibrato	binifibrate	binifibrate	69047-39-8	hipolipemiant		
401	biotina	biotina	biotine	biotin	58-85-5	emprat en la prevenció i el tractament del dèficit de vitamines del complex B		
402	biperidèn	biperideno	bipéridène	biperiden	514-65-8	anticolinèrgic central	antiparkinsonià	
403	bisacodil	bisacodil	bisacodyl	bisacodyl	603-50-9	laxant		
404	bisantrè	bisantreno	bisantrène	bisantrene	78186-34-2	antineoplàstic		
405	bisbentiamina	bisbentiamina	bisbentiamine	bisbentiamine	2667-89-2	factor vitamínic		
406	biscumacetat d'etil	biscumacetato de etilo	biscoumacétate d'éthyle	ethyl biscoumacetate	548-00-5	antagonista de la vitamina K	anticoagulant	
407	bisoprolol	bisoprolol	bisoprolol	bisoprolol	66722-44-9	antiarrítmic	blocador d'adrenoreceptors beta2	
408	bisoxatina	bisoxatina	bisoxatine	bisoxatin	17692-24-9	laxant		
409	bisulfit sòdic de menadiona	bisulfito sódico de menadiona	bisulfite sodique de ménadione	menadione sodium bisulfite	130-37-0	factor vitamínic		
410	bitartrat de detajmi	bitartrato de detajmio	bitartrate de détajmium	detajmium bitartrate	53862-81-0	antiarrítmic		
411	bitartrat de prajmali	bitartrato de prajmalio	bitartrate de prajmalium	prajmalium bitartrate	2589-47-1	antiarrítmic		
412	bitionol	bitionol	bithionol	bithionol	97-18-7	antihelmíntic		
413	bitolterol	bitolterol	bitoltérol	bitolterol	30392-40-6	broncodilatador		
414	bivalirudina	bivalirudina	bivalirudine	bivalirudin	128270-60-0	anticoagulant		
415	bleomicina	bleomicina	bléomycine	bleomycin	11056-06-7	antibiòtic glucopeptídic	antineoplàstic	
416	blinatumomab	blinatumomab	blinatumomab	blinatumomab	853426-35-4	anticòs monoclonal		
417	boceprevir	boceprevir	bocéprévir	boceprevir	394730-60-0	antivíric		
418	bopindolol	bopindolol	bopindolol	bopindolol	62658-63-3	antihipertensor	blocador d'adrenoreceptors beta	
419	borat de fenilmercuri	borato de fenilmercurio	borate de phénylmercure	phenylmercuric borate	8017-88-7	coadjuvant farmacèutic		
420	bornaprina	bornaprina	bornaprine	bornaprine	20448-86-6	antiparkinsonià		
421	bortezomib	bortezomib	bortézomib	bortezomib	179324-69-7	antineoplàstic		
422	bosentan	bosentán	bosentan	bosentan	147536-97-8	antihipertensor		
423	bosutinib	bosutinib	bosutinib	bosutinib	380843-75-4	antineoplàstic		
424	bral·lobarbital	bralobarbital	brallobarbital	brallobarbital	561-86-4	hipnòtic sedant		
425	brentuximab vedotina	brentuximab vedotina	brentuximab védotine	brentuximab vedotin	914088-09-08	anticòs monoclonal	immunosupressor	
426	brequinar	brequinar	bréquinar	brequinar	96187-53-0	antineoplàstic		
427	brigatinib	brigatinib	brigatinib	brigatinib	1197953-54-0	antineoplàstic	inhibidor de la tirosina-cinasa	
428	brimonidina	brimonidina	brimonidine	brimonidine	59803-98-4	emprat en el tractament del glaucoma		
429	brinzolamida	brinzolamida	brinzolamide	brinzolamide	138890-62-7	emprat en el tractament del glaucoma		
430	brivaracetam	brivaracetam	brivaracétam	brivaracetam	357336-20-0	nootròpic		
431	brivudina	brivudina	brivudine	brivudine	69304-47-8	antivíric		
432	brodalumab	brodalumab	brodalumab	brodalumab	1174395-19-7	immunomodulador		
433	brodimoprim	brodimoprima	brodimoprime	brodimoprim	56518-41-3	antibiòtic diaminopirimidínic		
434	brofaromina	brofaromina	brofaromine	brofaromine	63638-91-5	antidepressiu		
435	bromazepam	bromazepam	bromazépam	bromazepam	1812-30-2	tranquil·litzant		
436	bromazina	bromazina	bromazine	bromazine	118-23-0	antial·lèrgic	antihistamínic H1	
437	bromelaïna	bromelaína	bromélaïnes	bromelains	9001-00-7	antiinflamatori		
438	bromfenac	bromfenaco	bromfénac	bromfenac	91714-94-2	antiinflamatori		
439	bromfeniramina	bromfeniramina	bromphéniramine	brompheniramine	86-22-6	antial·lèrgic	antihistamínic H1	
440	bromhexina	bromhexina	bromhexine	bromhexine	3572-43-8	expectorant		
441	bromisoval	bromisoval	bromisoval	bromisoval	496-67-3	hipnòtic sedant		
442	bromocriptina	bromocriptina	bromocriptine	bromocriptine	25614-03-3	antiparkinsonià	inhibidor de l'alletament	
443	bromoprida	bromoprida	bromopride	bromopride	4093-35-0	antiemètic		
444	bromperidol	bromperidol	brompéridol	bromperidol	10457-90-6	neurolèptic		
445	bromur d'aclidini	bromuro de aclidinio	bromure d'aclidinium	aclidinium bromide	320345-99-1	anticolinèrgic		
446	bromur d'azametoni	bromuro de azametonio	bromure d'azaméthonium	azamethonium bromide	306-53-6	antihipertensor ganglioplègic		
447	bromur d'ipratropi	bromuro de ipratropio	bromure d'ipratropium	ipratropium bromide	22254-24-6	anticolinèrgic	broncodilatador	
448	bromur d'otiloni	bromuro de otilonio	bromure d'otilonium	otilonium bromide	26095-59-0	anticolinèrgic	antiespasmòdic	
449	bromur d'oxifenoni	bromuro de oxifenonio	bromure d'oxyphénonium	oxyphenonium bromide	50-10-2	anticolinèrgic	antiespasmòdic	
450	bromur d'oxitropi	bromuro de oxitropio	bromure d'oxitropium	oxitropium bromide	30286-75-0	anticolinèrgic	broncodilatador	
451	bromur de bibenzoni	bromuro de bibenzonio	bromure de bibenzonium	bibenzonium bromide	15585-70-3	antitussigen		
452	bromur de butropi	bromuro de butropio	bromure de butropium	butropium bromide	29025-14-7	antiespasmòdic		
453	bromur de cetrimoni	bromuro de cetrimonio	bromure de cétrimonium	cetrimonium bromide	57-09-0	antisèptic	desinfectant	
454	bromur de cicloni	bromuro de ciclonio	bromure de ciclonium	ciclonium bromide	29546-59-6	antiespasmòdic		
455	bromur de cimetropi	bromuro de cimetropio	bromure de cimétropium	cimetropium bromide	51598-60-8	anticolinèrgic		
456	bromur de demecari	bromuro de demecario	bromure de démécarium	demecarium bromide	56-94-0	inhibidor de la colinesterasa	miòtic	parasimpaticomimètic
457	bromur de distigmina	bromuro de distigmina	bromure de distigmine	distigmine bromide	15876-67-2	inhibidor de la colinesterasa	parasimpaticomimètic	
458	bromur de dodecloni	bromuro de dodeclonio	bromure de dodéclonium	dodeclonium bromide	15687-13-5	antisèptic		
459	bromur de fenpiverini	bromuro de fenpiverinio	bromure de fenpivérinium	fenpiverinium bromide	125-60-0	antiespasmòdic		
460	bromur de fentoni	bromuro de fentonio	bromure de fentonium	fentonium bromide	5868-06-4	anticolinèrgic	antiespasmòdic	
461	bromur de flutropi	bromuro de flutropio	bromure de flutropium	flutropium bromide	63516-07-4	broncodilatador		
462	bromur de glicopirroni	bromuro de glicopirronio	bromure de glycopyrronium	glycopyrronium bromide	596-51-0	anticolinèrgic	antiespasmòdic	
463	bromur de mepenzolat	bromuro de mepenzolato	bromure de mépenzolate	mepenzolate bromide	76-90-4	anticolinèrgic	antiespasmòdic	
464	bromur de metantelini	bromuro de metantelinio	bromure de méthanthélinium	methanthelinium bromide	53-46-3	anticolinèrgic	antiespasmòdic	
465	bromur de metilbenactizi	bromuro de metilbenacticio	bromure de méthylbénactyzium	methylbenactyzium bromide	3166-62-9	antagonista muscarínic	antiespasmòdic	
466	bromur de metilnaltrexona	bromuro de metilnaltrexona	bromure de méthylnaltrexone	methylnaltrexone bromide	916055-92-0	antagonista opioide		
467	bromur de neostigmina	bromuro de neostigmina	bromure de néostigmine	neostigmine bromide	59-99-4	inhibidor de la colinesterasa	parasimpaticomimètic	
468	bromur de pancuroni	bromuro de pancuronio	bromure de pancuronium	pancuronium bromide	15500-66-0	blocador neuromuscular		
469	bromur de parapenzolat	bromuro de parapenzolato	bromure de parapenzolate	parapenzolate bromide	5634-41-3	anticolinèrgic	antiespasmòdic	
470	bromur de pinaveri	bromuro de pinaverio	bromure de pinavérium	pinaverium bromide	53251-94-8	antiespasmòdic		
471	bromur de pipecuroni	bromuro de pipecuronio	bromure de pipécuronium	pipecuronium bromide	52212-02-9	blocador neuromuscular		
